INPUT:name_pair_1	INPUT:name_pair_2
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6229f737a9ea9b57ccd29104.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6229f93cc72a824e5bbd6311.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62209c15326f565941d98028.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62209cb307d635144a51e9fb.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6229f737a9ea9b57ccd29104.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622a094a9503bf6b99093359.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63499a3888d4494ceaf08f42.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63456e3ddd61db125822e059.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--634768f46004ae67601eea2b.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--634687c2c9f9ee0f1910f2f2.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63497bbb11050d3b3d8547da.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63497fa38b8c8b093415d9f2.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62544fef3aa41210b0f6509a.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62545ebdb78d4361c3189d60.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62210f1bdad63543fe317fe1.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6220c0635630e1229e8aa092.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6349365a96ccf337b3ae396b.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6369e742efe0e63a517a9dcb.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6328fcb49d7f70683fc8168c.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62e28fbdd028736fd1cd3ddc.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6295ffe7ce71890706e22ec5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6303546e7269d612b71930dd.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6366e2c9ed5e3903cb8cef4d.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62757422c278b8096f1a8163.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6227342b294a1e5c160cf256.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62fe2b6732fe117801056c88.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622de5e56aff7e6ce703385e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--632960d33fe1b90d039764d8.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6295b5d5df858e094c81d26f.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6297127d0f0a604a6d5401f5.jpg
