name_pair_1;name_pair_2;id_rnd_similarity;id_rnd_similarity_score
0001e96803--6229f737a9ea9b57ccd29104.jpg;0001e96803--6229f93cc72a824e5bbd6311.jpg;True;0.939298
0001e96803--62209c15326f565941d98028.jpg;0001e96803--62209cb307d635144a51e9fb.jpg;True;0.951985
0001e96803--6229f737a9ea9b57ccd29104.jpg;0001e96803--622a094a9503bf6b99093359.jpg;True;0.907294
0001e96803--63499a3888d4494ceaf08f42.jpg;0001e96803--63456e3ddd61db125822e059.jpg;True;0.935114
0001e96803--634768f46004ae67601eea2b.jpg;0001e96803--634687c2c9f9ee0f1910f2f2.jpg;True;0.932251
0001e96803--63497bbb11050d3b3d8547da.jpg;0001e96803--63497fa38b8c8b093415d9f2.jpg;True;0.933535
0001e96803--62544fef3aa41210b0f6509a.jpg;0001e96803--62545ebdb78d4361c3189d60.jpg;True;0.862602
0001e96803--62210f1bdad63543fe317fe1.jpg;0001e96803--6220c0635630e1229e8aa092.jpg;True;0.862729
0001e96803--62217e69f9a31c57defd0634.jpg;0001e96803--62217d4fdad63543fe34313c.jpg;True;0.919297
0001e96803--636118509277f672f18fb7f7.jpg;0001e96803--63611927fbd63e2722a92110.jpg;True;0.870274
0001e96803--632916789d6b6e59bf52dc00.jpg;0001e96803--632928c0ee98da5773df5f16.jpg;True;0.893464
0001e96803--62209c67d656c1525fc2a9b0.jpg;0001e96803--6220a56f69eb0849e15721a6.jpg;True;0.859407
0001e96803--6220fa4124413b491393b321.jpg;0001e96803--6220fb5c07d635144a587a86.jpg;True;0.871994
0001e96803--622ce624511cdb61528f2d35.jpg;0001e96803--62251c9bd9295779c06b9491.jpg;True;0.86202
0001e96803--6220c92aa2f3cb74fdc61195.jpg;0001e96803--62418ec7f3827f4117101548.jpg;True;0.889948
0001e96803--6229f93cc72a824e5bbd6311.jpg;0001e96803--622a094a9503bf6b99093359.jpg;True;0.869172
0001e96803--62adee39733c273cbda4ebeb.jpg;0001e96803--62adef5ebf14257215d53698.jpg;True;0.857739
0001e96803--6241bd789d40b5027ebfbdca.jpg;0001e96803--6239ea0a20237d576ab21556.jpg;True;0.865253
0001e96803--6255c8cfa78b820c6c71a938.jpg;0001e96803--6244939b154dce4ccec4e54c.jpg;True;0.856718
0001e96803--62c638293153aa34ba95adee.jpg;0001e96803--62d9660925470c1b481acf48.jpg;True;0.827022
0001e96803--6220c8b9f9a31c57def3d9ec.jpg;0001e96803--6220879e07d635144a5045c7.jpg;True;0.86685
0001e96803--6348e45d148cbc2e68966e81.jpg;0001e96803--6348daa141ba19793081526d.jpg;True;0.849973
0001e96803--622e4b8c6aff7e6ce708d60d.jpg;0001e96803--622e2801dc5c4810a03cf652.jpg;True;0.804042
0001e96803--6347ec7bcc4911103ef44a12.jpg;0001e96803--6347c579468fe447144dc286.jpg;True;0.789754
0001e96803--6242e1f9306e6346d681b081.jpg;0001e96803--6242dda0c44212112773d33d.jpg;True;0.870472
0001e96803--627619012afb8d4f1f6848fa.jpg;0001e96803--62762580516a1f3d2405034c.jpg;True;0.900813
0001e96803--62e16bf58071c3359eca6d29.jpg;0001e96803--62cb0183cdd675694844a7f6.jpg;True;0.882263
0001e96803--62dce887adff1e4e33a555a1.jpg;0001e96803--62de64aad826d608837cc921.jpg;True;0.84474
0001e96803--6221764cf9a31c57defcd033.jpg;0001e96803--623984b7bfa6d8211980a24c.jpg;True;0.823678
0001e96803--63693371351d406056cfe8fd.jpg;0001e96803--6368c645351d406056cabb56.jpg;True;0.793082
0001e96803--638da8387c421c0221649e58.jpg;0001e96803--638e0653f3acfc6c6ade7b1d.jpg;True;0.854567
0001e96803--625507bd4374727ed134b45a.jpg;0001e96803--6267792860e44172041542ee.jpg;True;0.80102
0001e96803--622881ba9503bf6b99f0c9d0.jpg;0001e96803--6228820c7a07670e20e6bf0b.jpg;True;0.827629
0001e96803--625507bd4374727ed134b45a.jpg;0001e96803--62429127b7ffd22bbe655933.jpg;True;0.842864
0001e96803--6260058419e462654f70f4b7.jpg;0001e96803--622d6a0725df0d340745f6e9.jpg;True;0.807747
0001e96803--6220ed59d47cac79fdbb1beb.jpg;0001e96803--622117cc99d6fe4e24b2d8a7.jpg;True;0.78851
