INPUT:name_pair_1	INPUT:name_pair_2	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62661962458b3c3dc1df3466.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6221bb1795f0832815c207f4.jpg	yes			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62291659469e0451389626c3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6241802f78f73a4bb96ff93e.jpg	yes			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6309fc19c459f02a1a0ad784.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6288c5d975a5cf63cd0884b0.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62208575dad63543fe288c2f.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c2ec8ec2d9aa6750c46386.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--629479dc56b7cb048e04a3c5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62965a08df858e094c8a1074.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63478e1ad06b6e1815ca9bd3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6364774b220e7f3ac207337f.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c7e74aa2c5ae6b6e2bb481.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--630c0add921d0c42d3d540d8.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6265d4313754e05cb694e3f5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6268b7ca9b5aaa24b869502b.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63b4cb536d292a505a99e43e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--636197c9cce99b58b4f91dc4.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c58803bcb5ef76709d1684.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6306278b70ee0807ed73352d.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63823e1d8916f97efd02a185.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62812d14e35a4e462fe5a5e2.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--632906f4b317545b7857560f.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6289e109559b29146eeab3b4.jpg	no			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622893accffc872118c40790.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62289441b50edb0927e918c3.jpg	yes			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6328d2a4c0fada34d75749e7.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63c5df1adf2c5c08eefd29c5.jpg	yes			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c3be9f2669a64660e45b5d.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--626008fca65aac089518c029.jpg	yes			
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63497bbb11050d3b3d8547da.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63497fa38b8c8b093415d9f2.jpg	yes			
