INPUT:name_pair_1	INPUT:name_pair_2	OUTPUT:result	CONFIDENCE:result	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--638070170bdf720fa95e7f3a.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6280a013bb58c96c0dcf017a.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--625ff1a1b1f48c0748dbb21e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6276518a83e89b5fc701405b.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6255a4c1487cbd280d8db8cf.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62ffefefc7043754fddee2b2.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63636894feee882fe6f088a9.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63446436df2b9f1ef9c2d35e.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622881ba9503bf6b99f0c9d0.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6228820c7a07670e20e6bf0b.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6222281b47557b67fe75c1ce.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622237dbdfc789173ad58790.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62761fb353d9394dc7b6f15f.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62762a4f83e89b5fc7fe6fad.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622706911315ef143e0fe226.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62603e5716f5e75931c71272.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6239586622820f461eb8d462.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6228df2d9ddc6a6893157d2d.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622963b7901d2c1de49f4131.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622c94eda1e05822d6505976.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--630c4ed3e2b7aa2ff7489584.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c300c7e26d6a58382e2791.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62247e7073a36d72fb926622.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62241e96ff125b16a4295c79.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6226212270049e12fcb3b120.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63622fecd8ae3b7cef085326.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62fde113aec04b56a57cdffa.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63014db635f1c208efc52af1.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c631596843180ef8f200a0.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--625f22c7f8ef0a67d1284a45.jpg	yes	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63c1005efae12a5ed829d03b.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--638f0b156adba26f59f50c2a.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6328c0929d6b6e59bf4fb32b.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6328fbfed624a107da3b5873.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63498f42704f9233fcef4d7c.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6255f3670209c17acf8ce101.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62e941810d054c5aaf3067ff.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6369edef6deda135dc795a80.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6265d4313754e05cb694e3f5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62958efba743b42b6ab68ea3.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6361b7e84697937135b7d2b3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--632914f4fa8f9d332d681448.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6295bbf427b7222acc6823ae.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--637f3c57b1f68211fe1538b1.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6328fd47827e3f5b6cbb43ef.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62810e0d06b05911b1a9798c.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6328e6b5b5f20e59648c738e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63695897d2c1a931de25a81a.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62417b63e21ac74db3d69c6b.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--624e93170df5d81c367838e2.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6288cbda102b1f18b401c614.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62957ecdf97bee03d0f9921b.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6280aa360a339251c272d560.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c40178559a605e4c2ef677.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6249551187411c06ccd4a6d3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--632a61f718d72624091817f6.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622352733c3d413ca01e24df.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62810b4abec5d646dccebe48.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--636162848054544a68a1fb45.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6308548426b39125bdbbe0cd.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63b6eda52c409655144b5c6c.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6306278b70ee0807ed73352d.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--634819780810107e96de4076.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62221b0d47557b67fe749020.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62fe9a17b722761e75d89a08.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6329649607a0ad26e07104ff.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6288ed0e4375242f74065ee5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6302890a77ba4c2da7a2b000.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62e10fab913dc443b14446fb.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63804f9de3e95c188273689c.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63009f7052a1941788fcc3e2.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6255a3bdd486ca2bf06fa968.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6220a75f5b61a92da75de584.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62219b9f13fa8f7fceba3776.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62daa9f5cce98f27d0c0b56a.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62446c6fc2f1da6a6902c391.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6382ed42e3e95c18828a15f3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62ae52d61b85c162d5fbf5e5.jpg	no	99.99%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6288cd520e6b2f6bab791b6e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6380b8b0d1d08f0d8745926b.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63b6d520b5ae086fb07af92c.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62dd97dcffe0be5ecf633f63.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6280e2a0bec5d646dccce242.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--628a1438d0f986027b70cc8d.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62e1696a0d054c5aafe8a50d.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62d81f0898ea617c64b763e0.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63a4454a1a8f6c75e0ffe7f7.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6249cc09be5f5e094f86237f.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--629486ef6789b1401e77e5a3.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6221a0b482e5d14bc7049853.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62add8f616320604517fcf89.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62d92ccd7247b34220d2d914.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6303675b35ff2c4b9d501df5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62c43392c2d9aa6750d08716.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--636769c01f2045182ba5889a.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6362376e4c805c0177b195eb.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--625fd628a65aac089514f62e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62555188324f8614474a251b.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--624e3dccf2bfda112691ca87.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--624dd761f68b1c7370230ef2.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6228a065ff125b16a452ffa4.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6280d8a291f0bb0d5bec61b2.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63661c066846301c960cdebd.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6307d07f26b39125bdb870f2.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62606d790fbc540e04c8bf7e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62fe9471313a2c0232620d32.jpg	yes	99.99%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63642f8cead4b83f5f063e49.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6222718770049e12fc8f3276.jpg	yes	99.99%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62243bb637825f2adbeb5784.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6226d724c1b18165622521ab.jpg	no	100.00%	
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63670cc42d40d373b6366d9f.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--624e5f06fad53241b05555a4.jpg	no	99.87%	
