INPUT:name_pair_1	INPUT:name_pair_2
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62d686dd7ccde63d44144a88.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6220b19add8ac76b4c894ea1.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622a162f5c996041491dcd3e.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62209e82c9e1fc19522d3fdd.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--630d6c81b5470b3f33726755.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63072ee6dd4a291311ab4f02.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62fe80fa52a1941788e74657.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6280a297ed7e4c361de827bf.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6249c7f3f6952438bd51f943.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6239d1919e8eb347e421c4ec.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6300bf4d0d5c633debb44535.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63a577bf2633d47ad051da91.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--627524c1e2055e2ef182c5f5.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--626007d34e109864dc0d30fc.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6347baa288d4494ceadea895.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6347cf0548ab9b4c8689ef25.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--634795a587d710391417cb53.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62d7de728e36f35d2e301984.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62e022c95beaf75c0c9fd0d9.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6294bcf2e14f7b062a0601be.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6249b53dfad53241b0229037.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62421a39085c7d3f4ddae3d6.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--6381c00b726a790e7ecec2b9.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--638db44bf00fef08ebb4e970.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62ffc10652a1941788f5b47c.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62890f46f2f612737477d67a.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--63290e481a965e051c45f5d4.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--622dd5f1ffd4b42694cc65a2.jpg
https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62af5ca0bf14257215e22fbf.jpg	https://storage.yandexcloud.net/license-anti-spoofing/live_selfie/0001e96803--62209d0b95f0832815b315f0.jpg
